fips	county	plane
01001	Autauga County	w
01003	Baldwin County	w
01007	Bibb County	w
01009	Blount County	w
01013	Butler County	w
01021	Chilton County	w
01023	Choctaw County	w
01025	Clarke County	w
01033	Colbert County	w
01035	Conecuh County	w
01043	Cullman County	w
01047	Dallas County	w
01053	Escambia County	w
01057	Fayette County	w
01059	Franklin County	w
01063	Greene County	w
01065	Hale County	w
01073	Jefferson County	w
01075	Lamar County	w
01077	Lauderdale County	w
01079	Lawrence County	w
01083	Limestone County	w
01085	Lowndes County	w
01091	Marengo County	w
01093	Marion County	w
01097	Mobile County	w
01099	Monroe County	w
01103	Morgan County	w
01105	Perry County	w
01107	Pickens County	w
01117	Shelby County	w
01119	Sumter County	w
01125	Tuscaloosa County	w
01127	Walker County	w
01129	Washington County	w
01131	Wilcox County	w
01133	Winston County	w
01005	Barbour County	e
01011	Bullock County	e
01015	Calhoun County	e
01017	Chambers County	e
01019	Cherokee County	e
01027	Clay County	e
01029	Cleburne County	e
01031	Coffee County	e
01037	Coosa County	e
01039	Covington County	e
01041	Crenshaw County	e
01045	Dale County	e
01049	DeKalb County	e
01051	Elmore County	e
01055	Etowah County	e
01061	Geneva County	e
01067	Henry County	e
01069	Houston County	e
01071	Jackson County	e
01081	Lee County	e
01087	Macon County	e
01089	Madison County	e
01095	Marshall County	e
01101	Montgomery County	e
01109	Pike County	e
01111	Randolph County	e
01113	Russell County	e
01115	St. Clair County	e
01121	Talladega County	e
01123	Tallapoosa County	e
04012	La Paz County	w
04015	Mohave County	w
04027	Yuma County	w
04005	Coconino County	c
04013	Maricopa County	c
04019	Pima County	c
04021	Pinal County	c
04023	Santa Cruz County	c
04025	Yavapai County	c
04001	Apache County	e
04003	Cochise County	e
04007	Gila County	e
04009	Graham County	e
04011	Greenlee County	e
04017	Navajo County	e
05005	Baxter County	n
05007	Benton County	n
05009	Boone County	n
05015	Carroll County	n
05021	Clay County	n
05023	Cleburne County	n
05029	Conway County	n
05031	Craighead County	n
05033	Crawford County	n
05035	Crittenden County	n
05037	Cross County	n
05045	Faulkner County	n
05047	Franklin County	n
05049	Fulton County	n
05055	Greene County	n
05063	Independence County	n
05065	Izard County	n
05067	Jackson County	n
05071	Johnson County	n
05075	Lawrence County	n
05083	Logan County	n
05087	Madison County	n
05089	Marion County	n
05093	Mississippi County	n
05101	Newton County	n
05105	Perry County	n
05111	Poinsett County	n
05115	Pope County	n
05119	Pulaski County	n
05121	Randolph County	n
05123	St. Francis County	n
05127	Scott County	n
05129	Searcy County	n
05131	Sebastian County	n
05135	Sharp County	n
05137	Stone County	n
05141	Van Buren County	n
05143	Washington County	n
05145	White County	n
05147	Woodruff County	n
05149	Yell County	n
05001	Arkansas County	s
05003	Ashley County	s
05011	Bradley County	s
05013	Calhoun County	s
05017	Chicot County	s
05019	Clark County	s
05025	Cleveland County	s
05027	Columbia County	s
05039	Dallas County	s
05041	Desha County	s
05043	Drew County	s
05051	Garland County	s
05053	Grant County	s
05057	Hempstead County	s
05059	Hot Spring County	s
05061	Howard County	s
05069	Jefferson County	s
05073	Lafayette County	s
05077	Lee County	s
05079	Lincoln County	s
05081	Little River County	s
05085	Lonoke County	s
05091	Miller County	s
05095	Monroe County	s
05097	Montgomery County	s
05099	Nevada County	s
05103	Ouachita County	s
05107	Phillips County	s
05109	Pike County	s
05113	Polk County	s
05117	Prairie County	s
05125	Saline County	s
05133	Sevier County	s
05139	Union County	s
06015	Del Norte County	i
06023	Humboldt County	i
06035	Lassen County	i
06049	Modoc County	i
06063	Plumas County	i
06089	Shasta County	i
06093	Siskiyou County	i
06103	Tehama County	i
06105	Trinity County	i
06003	Alpine County	ii
06005	Amador County	ii
06007	Butte County	ii
06011	Colusa County	ii
06017	El Dorado County	ii
06021	Glenn County	ii
06033	Lake County	ii
06045	Mendocino County	ii
06055	Napa County	ii
06057	Nevada County	ii
06061	Placer County	ii
06067	Sacramento County	ii
06091	Sierra County	ii
06095	Solano County	ii
06097	Sonoma County	ii
06101	Sutter County	ii
06113	Yolo County	ii
06115	Yuba County	ii
06001	Alameda County	iii
06009	Calaveras County	iii
06013	Contra Costa County	iii
06039	Madera County	iii
06041	Marin County	iii
06043	Mariposa County	iii
06047	Merced County	iii
06051	Mono County	iii
06075	San Francisco County	iii
06077	San Joaquin County	iii
06081	San Mateo County	iii
06085	Santa Clara County	iii
06087	Santa Cruz County	iii
06099	Stanislaus County	iii
06109	Tuolumne County	iii
06019	Fresno County	iv
06027	Inyo County	iv
06031	Kings County	iv
06053	Monterey County	iv
06069	San Benito County	iv
06107	Tulare County	iv
06029	Kern County	v
06037	Los Angeles County	v
06071	San Bernardino County	v
06079	San Luis Obispo County	v
06083	Santa Barbara County	v
06111	Ventura County	v
06025	Imperial County	vi
06059	Orange County	vi
06065	Riverside County	vi
06073	San Diego County	vi
08001	Adams County	n
08013	Boulder County	n
08014	Broomfield County	n
08047	Gilpin County	n
08049	Grand County	n
08057	Jackson County	n
08069	Larimer County	n
08075	Logan County	n
08081	Moffat County	n
08087	Morgan County	n
08095	Phillips County	n
08103	Rio Blanco County	n
08107	Routt County	n
08115	Sedgwick County	n
08121	Washington County	n
08123	Weld County	n
08125	Yuma County	n
08005	Arapahoe County	c
08015	Chaffee County	c
08017	Cheyenne County	c
08019	Clear Creek County	c
08029	Delta County	c
08031	Denver County	c
08035	Douglas County	c
08037	Eagle County	c
08039	Elbert County	c
08041	El Paso County	c
